CompanyId,CompanyCode,CompanyDescription,EmployeeNumber,EmployeeFirstName,EmployeeLastName,EmployeeEmail,EmployeeDepartment,HireDate,ManagerEmployeeNumber
5,Whiskey,Whiskey Description,E196582,Free,Alderman,falderman0@dot.gov,Accounting,,
3,Zulu,Zulu Description,E173260,Jacinthe,Seczyk,jseczyk1@gizmodo.com,Human Resources,2021-01-11,E143607
2,Delta,Delta Description,E175521,Nicolas,Loos,nloos2@a8.net,Engineering,2005-08-30,E156564
4,Oscar,Oscar Description,E114960,Theresita,Mathiot,tmathiot3@goo.gl,Business Development,2012-12-11,E104715
4,Oscar,Oscar Description,E154343,Jens,Aldous,jaldous4@ihg.com,Sales,2020-09-28,E118013
2,Delta,Delta Description,E103708,Kristo,Sudy,ksudy5@state.tx.us,Legal,2014-05-25,E158094
5,Whiskey,Whiskey Description,E166295,Tedra,Hinemoor,thinemoor6@chicagotribune.com,Services,2006-04-06,E107311
8,India,India Description,E161105,Sileas,Toma,stoma7@hugedomains.com,Engineering,2009-06-09,
10,Alpha,Alpha Description,E108990,Ferdinand,Ambrozik,fambrozik8@myspace.com,Research and Development,2013-02-26,E166283
1,Tango,Tango Description,E134945,Ewart,Gittus,egittus9@who.int,Legal,2017-09-09,E179269
7,Charlie,Charlie Description,E169656,Kathe,Pymm,kpymma@canalblog.com,Training,2018-10-01,E131718
10,Alpha,Alpha Description,E127130,Anallese,Clarey,aclareyb@symantec.com,Services,2010-11-16,E149093
4,Oscar,Oscar Description,E190180,Tarra,Necrews,tnecrewsc@slideshare.net,Marketing,2015-04-03,E167057
1,Tango,Tango Description,E133358,Odell,Bouldstridge,obouldstridged@princeton.edu,Services,,E179269
7,Charlie,Charlie Description,E100278,Donalt,Waycott,dwaycotte@icq.com,Services,2016-01-11,E136465
3,Zulu,Zulu Description,E158915,Ashbey,Mariaud,amariaudf@smh.com.au,Research and Development,,E132218
8,India,India Description,E182458,Reggie,Charlton,rcharltong@nytimes.com,Human Resources,2014-04-01,E125026
10,Alpha,Alpha Description,E197786,Moyra,Byllam,mbyllamh@salon.com,Training,2009-07-26,
3,Zulu,Zulu Description,E194213,Levin,Coleborn,lcoleborni@webeden.co.uk,Accounting,2012-07-13,E130004
3,Zulu,Zulu Description,E132218,Marillin,Giorio,mgiorioj@ebay.com,Support,2004-12-24,E100830
8,India,India Description,E179587,Brittaney,Symon,bsymonk@nifty.com,Human Resources,2001-10-03,E129626
2,Delta,Delta Description,E195654,Boyce,Baskerville,bbaskervillel@cnet.com,Sales,,E137656
2,Delta,Delta Description,E196849,Roselia,Preto,rpretom@ning.com,Product Management,2001-02-14,E137656
8,India,India Description,E154665,Cary,Seeger,cseegern@tinyurl.com,Engineering,2013-12-25,E185758
2,Delta,Delta Description,E143588,Dougy,Meates,dmeateso@buzzfeed.com,Support,2008-06-19,
9,Kilo,Kilo Description,E142749,Courtney,Perrelli,cperrellip@ebay.co.uk,Training,2021-08-21,E128558
5,Whiskey,Whiskey Description,E197232,Nerty,Daelman,ndaelmanq@hexun.com,Services,2019-07-01,E186427
10,Alpha,Alpha Description,E190442,Gonzales,Koenen,gkoenenr@ebay.co.uk,Research and Development,2017-01-10,E179875
3,Zulu,Zulu Description,E190552,Nappie,Lever,nlevers@blinklist.com,Training,2013-01-19,E130004
10,Alpha,Alpha Description,E171377,Pryce,Fronczak,pfronczakt@cmu.edu,Accounting,2007-06-28,E151603
1,Tango,Tango Description,E140255,Baxie,Parades,bparadesu@cdc.gov,Sales,2008-07-27,E116668
3,Zulu,Zulu Description,E148092,Carolyn,Cuckson,ccucksonv@ibm.com,Human Resources,2001-05-10,E132218
2,Delta,Delta Description,E134692,Michel,Gecke,mgeckew@examiner.com,Accounting,2004-05-17,E106050
5,Whiskey,Whiskey Description,E153513,Beryl,Ayling,baylingx@yellowpages.com,Sales,,E111839
1,Tango,Tango Description,E169711,Ethelred,Hansley,ehansleyy@accuweather.com,Engineering,2021-05-29,
10,Alpha,Alpha Description,E105331,Paulie,Skunes,pskunesz@whitehouse.gov,Training,2010-03-16,E166283
9,Kilo,Kilo Description,E153157,Morris,Ambrogi,mambrogi10@netvibes.com,Research and Development,2010-05-03,E123351
4,Oscar,Oscar Description,E149898,Augustine,Janway,ajanway11@paginegialle.it,Services,2014-01-13,E118013
